split,class_id,label,url,start_time,end_time,duration,signer_id,fps,width,height,box
train,1,how,https://www.youtube.com/watch?v=jQb9NL9_S6U,489.182,496.862,7.68,6,24.87,640.0,358.0,"[0.0200423002243042, 0.1574973464012146, 0.8441125154495239, 0.716306746006012]"
train,3,you,https://www.youtube.com/watch?v=htsdwxJ-fTo,41.408,43.41,2.002,8,29.97,640.0,360.0,"[0.10208573937416077, 0.32380735874176025, 1.0, 0.7578179836273193]"
train,3,you,https://www.youtube.com/watch?v=PpeviLqqBtk,26.894,29.229,2.335,400,29.97,640.0,360.0,"[0.005590856075286865, 0.2257106602191925, 1.0, 0.7511510848999023]"
train,0,hello,https://www.youtube.com/watch?v=Cgh1DXAQBuI,24.858,27.928,3.07,30,29.97,640.0,360.0,"[0.046631038188934326, 0.17717161774635315, 1.0, 0.7078226804733276]"
train,2,how_are_you,https://www.youtube.com/watch?v=Cgh1DXAQBuI,408.976,414.782,5.806,30,29.97,640.0,360.0,"[0.05628719925880432, 0.26945793628692627, 1.0, 0.7333850860595703]"
train,0,hello,https://www.youtube.com/watch?v=7YYB3BEoksc,8.342,9.243,0.901,43,29.97,640.0,360.0,"[0.0239122211933136, 0.010010898113250732, 0.99521803855896, 0.9159805774688721]"
train,0,hello,https://www.youtube.com/watch?v=7YYB3BEoksc,9.343,12.079,2.736,43,29.97,640.0,360.0,"[0.005003154277801514, 0.0027190446853637695, 0.995388388633728, 0.9119666218757629]"
train,0,hello,https://www.youtube.com/watch?v=7YYB3BEoksc,12.212,13.78,1.568,43,29.97,640.0,360.0,"[0.005865514278411865, 0.002034097909927368, 0.9955541491508484, 0.9066387414932251]"
train,2,how_are_you,https://www.youtube.com/watch?v=7YYB3BEoksc,27.127,31.765,4.638,43,29.97,640.0,360.0,"[0.02751314640045166, 0.005686342716217041, 0.9988945722579956, 0.9930115938186646]"
train,4,today,https://www.youtube.com/watch?v=mC0lNJ6iz-s,10.577,16.55,5.973,32,29.97,640.0,360.0,"[0.06347018480300903, 0.3175745904445648, 1.0, 0.7824609279632568]"
train,1,how,https://www.youtube.com/watch?v=fKjsdtMU3fc,298.2,305.08,6.88,77,25.0,480.0,270.0,"[0.03538799285888672, 0.36420756578445435, 1.0, 0.8872904181480408]"
train,1,how,https://www.youtube.com/watch?v=fKjsdtMU3fc,310.56,311.72,1.16,77,25.0,480.0,270.0,"[0.0, 0.2296186089515686, 1.0, 0.8877753615379333]"
train,1,how,https://www.youtube.com/watch?v=fKjsdtMU3fc,311.92,314.2,2.28,77,25.0,480.0,270.0,"[0.0, 0.2296186089515686, 1.0, 0.8877753615379333]"
train,4,today,https://www.youtube.com/watch?v=bq-HmgjGzmw,165.899,170.07,4.171,72,29.97,626.0,360.0,"[0.15842118859291077, 0.3054376244544983, 1.0, 0.6981236338615417]"
train,0,hello,https://www.youtube.com/watch?v=D7UYn37qTkU,98.732,103.837,5.105,24,29.97,1280.0,720.0,"[0.0637880265712738, 0.2750791907310486, 1.0, 0.8681944608688354]"
train,0,hello,www.youtube.com/watch?v=WbkSmhKTltU,0.0,3.036,3.036,110,29.97,640.0,360.0,"[0.08386632800102234, 0.23110045492649078, 1.0, 0.6741747856140137]"
train,0,hello,www.youtube.com/watch?v=FVjpLa8GqeM,0.0,1.735,1.735,0,29.97,640.0,360.0,"[0.01678505539894104, 0.1747128665447235, 1.0, 0.7376229763031006]"
train,0,hello,https://www.youtube.com/watch?v=9jUuFHB2m4M,1.001,2.669,1.668,1,29.97,640.0,360.0,"[0.0, 0.12939035892486572, 1.0, 1.0]"
